Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"The evolution of agile software development in Brazil","Journal of the Brazilian Computer Society","","19","4","10.1007/s13173-013-0114-x","Claudia de O. MeloViviane SantosEduardo KatayamaHugo CorbucciRafael PrikladnickiAlfredo GoldmanFabio Kon","2013","http://link.springer.com/article/10.1007/s13173-013-0114-x","Article"
"Security Engineering and eXtreme Programming: An Impossible Marriage?","Extreme Programming and Agile Methods - XP/Agile Universe 2004","","","","10.1007/978-3-540-27777-4_12","Jaana WäyrynenMarine BodénGustav Boström","2004","http://link.springer.com/chapter/10.1007/978-3-540-27777-4_12","Chapter"
"Agile methods for embedded systems development - a literature review and a mapping study","EURASIP Journal on Embedded Systems","","2013","1","10.1186/1687-3963-2013-15","Matti KaistiVille RantalaTapio MujunenSami HyrynsalmiKaisa KönnöläTuomas MäkiläTeijo Lehtonen","2013","http://link.springer.com/article/10.1186/1687-3963-2013-15","Article"
"Agile Entwicklung Web-basierter Systeme","Wirtschaftsinformatik","","44","3","10.1007/BF03250842","Jens Coldewey","2002","http://link.springer.com/article/10.1007/BF03250842","Article"
"Situational Method Quality","Situational Method Engineering: Fundamentals and Experiences","","","","10.1007/978-0-387-73947-2_16","Liming ZhuMark Staples","2007","http://link.springer.com/chapter/10.1007/978-0-387-73947-2_16","Chapter"
"The kanban approach, between agility and leanness: a systematic review","Empirical Software Engineering","","20","6","10.1007/s10664-014-9340-x","Osama Al-BaikJames Miller","2015","http://link.springer.com/article/10.1007/s10664-014-9340-x","Article"
"Achieving CMMI Level 2 with Enhanced Extreme Programming Approach","Product Focused Software Process Improvement","","","","10.1007/978-3-540-24659-6_27","Tuomo KähkönenPekka Abrahamsson","2004","http://link.springer.com/chapter/10.1007/978-3-540-24659-6_27","Chapter"
"How to Get the Most out of Extreme Programming/Agile Methods","Extreme Programming and Agile Methods — XP/Agile Universe 2002","","","","10.1007/3-540-45672-4_18","Donald J. Reifer","2002","http://link.springer.com/chapter/10.1007/3-540-45672-4_18","Chapter"
"Assessing agile methods: An empirical study","Journal of the Brazilian Computer Society","","10","2","10.1007/BF03192357","Américo SampaioAlexandre VasconcelosPedro R. Falcone Sampaio","2004","http://link.springer.com/article/10.1007/BF03192357","Article"
"Process Patterns for Agile Methodologies","Situational Method Engineering: Fundamentals and Experiences","","","","10.1007/978-0-387-73947-2_18","Samira TasharofiRaman Ramsin","2007","http://link.springer.com/chapter/10.1007/978-0-387-73947-2_18","Chapter"
"Investigating the extreme programming system–An empirical study","Empirical Software Engineering","","11","2","10.1007/s10664-006-6404-6","Panagiotis SfetsosLefteris AngelisIoannis Stamelos","2006","http://link.springer.com/article/10.1007/s10664-006-6404-6","Article"
"Blending Scrum practices and CMMI project management process areas","Innovations in Systems and Software Engineering","","4","1","10.1007/s11334-007-0040-1","Ana Sofia C. MarçalBruno Celso C. de FreitasFelipe S. Furtado SoaresMaria Elizabeth S. FurtadoTeresa M. MacielArnaldo D. Belchior","2008","http://link.springer.com/article/10.1007/s11334-007-0040-1","Article"
"Agility Measurements Mismatch: A Validation Study on Three Agile Team Assessments in Software Engineering","Agile Processes, in Software Engineering, and Extreme Programming","","","","10.1007/978-3-319-33515-5_2","Konstantinos ChronisLucas Gren","2016","http://link.springer.com/chapter/10.1007/978-3-319-33515-5_2","Chapter"
"A knowledge-based framework for extracting components in agile systems development","Information Technology and Management","","9","1","10.1007/s10799-007-0025-7","Vijayan SugumaranMohan TanniruVeda C. Storey","2008","http://link.springer.com/article/10.1007/s10799-007-0025-7","Article"
"Towards optimal software engineering: learning from agile practice","Innovations in Systems and Software Engineering","","9","3","10.1007/s11334-013-0216-9","David BustardGeorge WilkieDes Greer","2013","http://link.springer.com/article/10.1007/s11334-013-0216-9","Article"
"Managing Evolving Requirements Using eXtreme Programming","Soft-Ware 2002: Computing in an Imperfect World","","","","10.1007/3-540-46019-5_23","Jim Tomayko","2002","http://link.springer.com/chapter/10.1007/3-540-46019-5_23","Chapter"
"Extreme Programming in a Research Environment","Extreme Programming and Agile Methods — XP/Agile Universe 2002","","","","10.1007/3-540-45672-4_9","William A. WoodWilliam L. Kleb","2002","http://link.springer.com/chapter/10.1007/3-540-45672-4_9","Chapter"
"The effect of moving from a plan-driven to an incremental software development approach with agile practices","Empirical Software Engineering","","15","6","10.1007/s10664-010-9136-6","Kai PetersenClaes Wohlin","2010","http://link.springer.com/article/10.1007/s10664-010-9136-6","Article"
"A dependency taxonomy for agile software development projects","Information Systems Frontiers","","18","1","10.1007/s10796-015-9574-1","Diane E. Strode","2016","http://link.springer.com/article/10.1007/s10796-015-9574-1","Article"
"Abstracts of Documents in This Supplement","Political Science Abstracts","","","","10.1007/978-1-4615-5971-9_1","","1997","http://link.springer.com/chapter/10.1007/978-1-4615-5971-9_1","Chapter"
"Comparison of CMM Level 2 and eXtreme Programming","Software Quality — ECSQ 2002","","","","10.1007/3-540-47984-8_32","Jerzy R. NawrockiBartosz WalterAdam Wojciechowski","2002","http://link.springer.com/chapter/10.1007/3-540-47984-8_32","Chapter"
"Agility in Information Systems Development: A Three-Tiered Framework","Business Agility and Information Technology Diffusion","","","","10.1007/0-387-25590-7_3","Kieran ConboyBrian FitzgeraldWilliam Golden","2005","http://link.springer.com/chapter/10.1007/0-387-25590-7_3","Chapter"
"Quality Assurance in Scrum Applied to Safety  Critical Software","Agile Processes, in Software Engineering, and Extreme Programming","","","","10.1007/978-3-319-33515-5_8","Geir K. HanssenBørge HaugsetTor StålhaneThor MyklebustIngar Kulbrandstad","2016","http://link.springer.com/chapter/10.1007/978-3-319-33515-5_8","Chapter"
"Communication and Creative Thinking in Agile Software Development","Computer-Aided Innovation (CAI)","","","","10.1007/978-0-387-09697-1_17","Broderick CrawfordClaudio León de la BarraPatricio Letelier","2008","http://link.springer.com/chapter/10.1007/978-0-387-09697-1_17","Chapter"
"Scrum adoption and architectural extensions in developing new service applications of large financial IT systems","Journal of the Brazilian Computer Society","","19","3","10.1007/s13173-012-0096-0","Tuomas Ihme","2013","http://link.springer.com/article/10.1007/s13173-012-0096-0","Article"
"Agile Principles and Open Source Software Development: A Theoretical and Empirical Discussion","Extreme Programming and Agile Processes in Software Engineering","","","","10.1007/978-3-540-24853-8_10","Stefan Koch","2004","http://link.springer.com/chapter/10.1007/978-3-540-24853-8_10","Chapter"
"An Agile CMM","Extreme Programming and Agile Methods - XP/Agile Universe 2004","","","","10.1007/978-3-540-27777-4_13","Erik BosChrist Vriens","2004","http://link.springer.com/chapter/10.1007/978-3-540-27777-4_13","Chapter"
"Toward a Conceptual Framework of Agile Methods","Extreme Programming and Agile Methods - XP/Agile Universe 2004","","","","10.1007/978-3-540-27777-4_11","Kieran ConboyBrian Fitzgerald","2004","http://link.springer.com/chapter/10.1007/978-3-540-27777-4_11","Chapter"
"Investigating probabilistic sampling approaches for large-scale surveys in software engineering","Journal of Software Engineering Research and Development","","3","1","10.1186/s40411-015-0023-0","Rafael Maiani de MelloPedro Corrêa da SilvaGuilherme Horta Travassos","2015","http://link.springer.com/article/10.1186/s40411-015-0023-0","Article"
"Fostering effective inter-team knowledge sharing in agile software development","Empirical Software Engineering","","20","4","10.1007/s10664-014-9307-y","Viviane SantosAlfredo GoldmanCleidson R. B. de Souza","2015","http://link.springer.com/article/10.1007/s10664-014-9307-y","Article"
"C","Van Nostrand’s Scientific Encyclopedia","","","","10.1007/978-1-4757-6918-0_3","Douglas M. Considine P.E.Glenn D. Considine","1995","http://link.springer.com/chapter/10.1007/978-1-4757-6918-0_3","Chapter"
"Design with ArgoUML","Enterprise Java Development on a Budget: Leveraging Java Open Source Technologies","","","","10.1007/978-1-4302-0682-8_2","Brian Sam-Bodden dual bachelor degreesChristopher Judd Bachelor’s degree","2004","http://link.springer.com/chapter/10.1007/978-1-4302-0682-8_2","Chapter"
"Agile Project Management Methods for ERP: How to Apply Agile Processes to Complex COTS Projects and Live to Tell about It","Extreme Programming and Agile Methods — XP/Agile Universe 2002","","","","10.1007/3-540-45672-4_8","Glen B. Alleman","2002","http://link.springer.com/chapter/10.1007/3-540-45672-4_8","Chapter"
